detected_on,euronext_symbol,euronext_company,date,family,category,type,description,amount_eur,fiscal_year,source_title,needs_detail,event_key
2026-08-28,ΑΔΜΗΕ,ΑΔΜΗΕ ΣΥΜΜΕΤΟΧΩΝ Α.Ε.,2026-08-28,div,Μέρισμα / Διανομή,dividend,"Διανομή €0,0198/μετοχή",0.0198,01/01/2025 - 31/12/2025,ΑΔΜΗΕ ΣΥΜΜΕΤΟΧΩΝ Α.Ε. ΧΡΗΜΑΤΙΚΗ ΔΙΑΝΟΜΗ 28 - 08 - 2026,,ΑΔΜΗΕ|2026-08-28|dividend
2026-08-28,ΕΥΑΠΣ,ΕΤ. ΥΔΡΕΥΣΗΣ & ΑΠΟΧΕΤΕΥΣΗΣ ΘΕΣ/ΚΗΣ Α.Ε.,2026-08-25,div,Μέρισμα / Διανομή,dividend,"Διανομή €0,0746/μετοχή",0.0746,01/01/2025 - 31/12/2025,ΕΤ. ΥΔΡΕΥΣΗΣ & ΑΠΟΧΕΤΕΥΣΗΣ ΘΕΣ/ΚΗΣ Α.Ε. ΧΡΗΜΑΤΙΚΗ ΔΙΑΝΟΜΗ 25 - 08 - 2026,,ΕΥΑΠΣ|2026-08-25|dividend
2026-08-28,ΒΙΟΚΑ,ΒΙΟΚΑΡΠΕΤ Α.Ε.,2026-08-24,capital,Κεφαλαιακή πράξη,capital_return,"Επιστροφή κεφαλαίου €0,0300/μετοχή",0.0300,-,ΒΙΟΚΑΡΠΕΤ Α.Ε. ΧΡΗΜΑΤΙΚΗ ΔΙΑΝΟΜΗ 24 - 08 - 2026,,ΒΙΟΚΑ|2026-08-24|capital_return
2026-08-28,QLCO,QUALCO GROUP Α.Ε.,2026-08-24,div,Μέρισμα / Διανομή,dividend,"Διανομή €0,0450/μετοχή",0.0450,01/01/2025 - 31/12/2025,QUALCO GROUP Α.Ε. ΧΡΗΜΑΤΙΚΗ ΔΙΑΝΟΜΗ 24 - 08 - 2026,,QLCO|2026-08-24|dividend
2026-09-04,ΣΠΕΙΣ,SPACE HELLAS Α.Ε.,2026-07-20,div,Μέρισμα / Διανομή,dividend,"Διανομή €0,1600/μετοχή",0.1600,01/01/2025 - 31/12/2025,SPACE HELLAS Α.Ε. ΧΡΗΜΑΤΙΚΗ ΔΙΑΝΟΜΗ 20 - 07 - 2026,,ΣΠΕΙΣ|2026-07-20|dividend
2026-09-04,ΕΥΡΩΒ,ΕΥΡΩΒ,2026-09-04,capital,Κεφαλαιακή πράξη,amk,Μεταβολή μετοχικού κεφαλαίου — έλεγξε ανακοίνωση (υποείδος/ποσό),,,Euronext — ΜΕΤΑΒΟΛΗ ΜΕΤΟΧΙΚΟΥ ΚΕΦΑΛΑΙΟΥ,1,ΕΥΡΩΒ|2026-09-04|amk
2026-09-11,ΕΥΡΩΒ,ΕΥΡΩΒ,2026-09-09,capital,Κεφαλαιακή πράξη,amk,Μεταβολή μετοχικού κεφαλαίου — έλεγξε ανακοίνωση (υποείδος/ποσό),,,Euronext — ΜΕΤΑΒΟΛΗ ΜΕΤΟΧΙΚΟΥ ΚΕΦΑΛΑΙΟΥ,1,ΕΥΡΩΒ|2026-09-09|amk
2026-09-18,ΠΡΟΦ,PROFILE A.E.B.E. ΠΛΗΡΟΦΟΡΙΚΗΣ,2026-09-16,capital,Κεφαλαιακή πράξη,capital_return,"Επιστροφή κεφαλαίου €0,2400/μετοχή",0.2400,-,PROFILE A.E.B.E. ΠΛΗΡΟΦΟΡΙΚΗΣ ΧΡΗΜΑΤΙΚΗ ΔΙΑΝΟΜΗ 16 - 09 - 2026,,ΠΡΟΦ|2026-09-16|capital_return
2026-09-18,ΕΒΡΟΦ,ΕΒΡΟΦΑΡΜΑ ΒΙΟΜΗΧΑΝΙΑ ΓΑΛΑΚΤΟΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ & ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,2026-09-15,div,Μέρισμα / Διανομή,dividend,"Διανομή €0,0601/μετοχή",0.0601,01/01/2025 - 31/12/2025,ΕΒΡΟΦΑΡΜΑ ΒΙΟΜΗΧΑΝΙΑ ΓΑΛΑΚΤΟΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ & ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΧΡΗΜΑΤΙΚΗ ΔΙΑΝΟΜΗ 15 - 09 - 2026,,ΕΒΡΟΦ|2026-09-15|dividend
2026-09-18,SBLK,SBLK,2026-09-18,listing,Εισαγωγή / Κατηγορία,market_change,Νέα εισαγωγή προς διαπραγμάτευση — ΚΥΡΙΑ ΑΓΟΡΑ,,,Euronext — νέο σύμβολο,1,SBLK|2026-09-18|market_change
2026-09-18,ΕΤΕ,ΕΤΕ,2026-09-17,capital,Κεφαλαιακή πράξη,amk,Μεταβολή μετοχικού κεφαλαίου — έλεγξε ανακοίνωση (υποείδος/ποσό),,,Euronext — ΜΕΤΑΒΟΛΗ ΜΕΤΟΧΙΚΟΥ ΚΕΦΑΛΑΙΟΥ,1,ΕΤΕ|2026-09-17|amk
2026-09-18,ΦΡΛΚ,ΦΡΛΚ,2026-09-18,capital,Κεφαλαιακή πράξη,amk,Μεταβολή μετοχικού κεφαλαίου — έλεγξε ανακοίνωση (υποείδος/ποσό),,,Euronext — ΜΕΤΑΒΟΛΗ ΜΕΤΟΧΙΚΟΥ ΚΕΦΑΛΑΙΟΥ,1,ΦΡΛΚ|2026-09-18|amk
2026-09-18,ΠΡΟΦ,ΠΡΟΦ,2026-09-16,capital,Κεφαλαιακή πράξη,amk,Μεταβολή μετοχικού κεφαλαίου — έλεγξε ανακοίνωση (υποείδος/ποσό),,,Euronext — ΜΕΤΑΒΟΛΗ ΜΕΤΟΧΙΚΟΥ ΚΕΦΑΛΑΙΟΥ,1,ΠΡΟΦ|2026-09-16|amk
2026-09-18,SB,SB,2026-09-14,capital,Κεφαλαιακή πράξη,amk,Μεταβολή μετοχικού κεφαλαίου — έλεγξε ανακοίνωση (υποείδος/ποσό),,,Euronext — ΜΕΤΑΒΟΛΗ ΜΕΤΟΧΙΚΟΥ ΚΕΦΑΛΑΙΟΥ,1,SB|2026-09-14|amk
2026-09-23,BOCHGR,BANK OF CYPRUS HOLDINGS PLC,2026-09-21,div,Μέρισμα / Διανομή,dividend,"Διανομή €0,2400/μετοχή",0.2400,01/01/2026 - 31/12/2026,BANK OF CYPRUS HOLDINGS PLC ΧΡΗΜΑΤΙΚΗ ΔΙΑΝΟΜΗ 21 - 09 - 2026,,BOCHGR|2026-09-21|dividend
